case_id,case_group,scenario_id,load_mode,zone_j_total_pmax_mw,rho_j_cost_c2,x_spine_multiplier,interface_name,lite_flow_mw,target_flow_mw,residual_mw,scale_mw,objective_term,interface_objective_total
RHO_SWEEP_3GW_RHO_0p02,rho_sweep,S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Dunwoodie_South,1928.34004264056,774.386704271667,1153.9533383689,774.386704271667,2.22055083645238,832.893614671204
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Moses_South,710.805721217628,713.559374921485,-2.75365370385703,713.559374921485,1.48921846775222e-05,8.54793685608669
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Central_East,2779.7191580425,919.824688464481,1859.89446957802,919.824688464481,4.08852334649396,8.54793685608669
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Total_East_proxy,3299.15751584108,1064.86749418979,2234.29002165129,1064.86749418979,4.40238430730086,8.54793685608669
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,UPNY_ConEd,2178.87948372321,1887.02575769531,291.853726027904,1887.02575769531,0.0239207519654195,8.54793685608669
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Dunwoodie_South,1198.14914534536,1013.73430197272,184.414843372638,1013.73430197272,0.0330935581417699,8.54793685608669
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Moses_South,549.040396288938,-55.8104160947309,604.850812383669,100,36.5844505241184,40.0487015052697
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Central_East,2654.17559705078,1002.33486432337,1651.84073272741,1002.33486432337,2.71588057510353,40.0487015052697
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Total_East_proxy,3280.77414780023,1885.69773626077,1395.07641153946,1885.69773626077,0.547333249718434,40.0487015052697
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,UPNY_ConEd,2581.03123554886,2186.02924703846,395.0019885104,2186.02924703846,0.0326502587735498,40.0487015052697
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Dunwoodie_South,1816.25749301067,1287.80646363194,528.451029378725,1287.80646363194,0.168386897555835,40.0487015052697
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Moses_South,-30.0166541585245,-18.0281665798467,-11.9884875786778,100,0.0143723834424112,0.498173066999187
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Central_East,2506.39198691943,1604.47725507616,901.914731843267,1604.47725507616,0.315983082587708,0.498173066999187
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Total_East_proxy,3424.2518247668,3161.41495443083,262.83687033597,3161.41495443083,0.00691209292334981,0.498173066999187
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,UPNY_ConEd,2897.38745256418,3945.61555854566,-1048.22810598148,3945.61555854566,0.0705800668698599,0.498173066999187
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Dunwoodie_South,2219.91600217349,3173.76557921188,-953.849577038387,3173.76557921188,0.0903254411758579,0.498173066999187
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Moses_South,697.066382878001,777.591851487167,-80.5254686091655,777.591851487167,0.0107241559257854,9.07603045408463
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Central_East,2790.89620154932,889.243271952491,1901.65292959683,889.243271952491,4.57321203428904,9.07603045408463
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Total_East_proxy,3307.72894850611,1061.49143259267,2246.23751591344,1061.49143259267,4.47794099088052,9.07603045408463
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,UPNY_ConEd,2130.83521723638,1932.82631567124,198.008901565141,1932.82631567124,0.0104950320513719,9.07603045408463
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Dunwoodie_South,1126.41629370165,1062.17249622078,64.2437974808679,1062.17249622078,0.00365824093791313,9.07603045408463
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Moses_South,712.813994870936,792.394241270214,-79.5802463992782,792.394241270214,0.0100862084103636,2.13578692488919
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Central_East,2825.28701761336,1230.11557367852,1595.17144393484,1230.11557367852,1.68160077669784,2.13578692488919
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Total_East_proxy,3190.56302370545,1915.21985554808,1275.34316815737,1915.21985554808,0.443421604458881,2.13578692488919
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,UPNY_ConEd,1960.23742424794,2001.27345996785,-41.0360357199113,2001.27345996785,0.000420453455794787,2.13578692488919
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Dunwoodie_South,1033.58228147959,1050.451162233,-16.8688807534072,1050.451162233,0.000257881866311404,2.13578692488919
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Moses_South,309.232183331668,-285.666833937602,594.89901726927,285.666833937602,4.33677469319106,832.893614671204
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Central_East,2582.09615265353,-48.9231580616368,2631.01931071517,100,692.226261335613,832.893614671204
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Total_East_proxy,3425.2077065095,-325.566529431838,3750.77423594134,325.566529431838,132.727938319161,832.893614671204
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,UPNY_ConEd,2720.78804903984,1250.57881037291,1470.20923866693,1250.57881037291,1.38208948678647,832.893614671204
SPINE_X_SWEEP_3GW_X_1,spine_x_sweep,S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Dunwoodie_South,1928.34004264056,774.386704271667,1153.9533383689,774.386704271667,2.22055083645238,832.893614671204
COMBINED_RHO_X_3GW_RHO_0p02_X_1,combined_rho_x,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Moses_South,710.805721217628,713.559374921485,-2.75365370385703,713.559374921485,1.48921846775222e-05,8.54793685608669
COMBINED_RHO_X_3GW_RHO_0p02_X_1,combined_rho_x,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Central_East,2779.7191580425,919.824688464481,1859.89446957802,919.824688464481,4.08852334649396,8.54793685608669
COMBINED_RHO_X_3GW_RHO_0p02_X_1,combined_rho_x,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,0.02,1,Total_East_proxy,3299.15751584108,1064.86749418979,2234.29002165129,1064.86749418979,4.40238430730086,8.54793685608669
